file,count,went,interested
Aleponija,375,8324,57778
Anglikāņu baznīca,57,1117,2331
Angārs,203,8317,116752
Annas Dārzs,45,1625,5788
Ansamblis,170,2270,13125
Aristīds,161,14983,33961
Auss,10,221,1111
Aussie Backpackers Pub,24,602,1631
Autentika,459,31266,263469
B Bārs,173,1963,6598
Balodis,69,4334,31713
Blues House,225,873,3496
Bolderāja,119,1615,6256
Brūklene,11,341,964
Cafe Leningrad,329,5007,20362
Chomsky,58,1145,2177
Collegium Musicum,27,260,1173
ConTakts,44,219,845
Cuba Cafe,82,795,2972
DEPO,1469,99480,184376
DJ's Bārs,184,2812,7588
Dēkanis,63,892,26757
Echo Sound Bar,58,308,1078
Fiesta,215,2414,8568
First Club,907,69788,1213061
Folkklubs Ala Pagrabs,1823,10965,49493
Fukushima,33,673,2813
Galerija Istaba,2,21,118
Greenwood bar,30,87,224
H2O 6 kvartāls,9,1155,3493
HHC,27,242,545
Hanzas Perons,168,13753,299022
Hāgensberga Pagalms,4,192,72007
Hāgenskalna Komūna,105,1529,7630
ISSP,4,154,215
Innocent Cafe,6,157,740
Jumts Aizbraucis,5,81,119
Jāzepa Vītola Latvijas Mūzikas Akadēmija,510,8746,24543
K.K. fon Stricka villa,192,26051,1113672
K57,2,70,296
KASDĀRZĀ,131,1210,7861
Kalnciema Kvartāls,206,31775,1032717
Kaņepes Kultūras centrs,1452,38733,190432
Kitchen Rave,2,409,24000
Klubs Melnā Piektdiena,427,53352,111278
Krogs Aptieka,91,3948,10997
Kultūras Nams Atmoda,178,3212,11229
"Kultūras pils """"Ziemeļblāzma""""",364,13309,142214
Labietis,79,2234,68462
Laska Bar,179,8336,62342
Laska V21,313,7310,37837
Lastādija,91,2746,26393
Latvijas 1.Rokkafejnīca,743,9366,34530
Latvijas Kultūras akadēmija,58,2756,9079
Latvijas Mākslas akadēmija,13,679,1725
Latvijas Nacionālā opera un balets,28,737,2461
Lielā Ģilde,277,9150,31042
Lodge,11,184,547
Lokal House,250,3865,15979
M/Darbnīca,456,6016,63145
MASA,62,584,3323
MAZE,67,3434,37010
Maldugunsbar,7,427,3318
Mazā Ģilde,396,7000,70307
Mañana,58,265,810
Mežaparka Lielā estrāde,49,3883,339476
Minox Cocktailbar,29,534,4282
Music Factory A Nice Place,111,4023,3419
Möku,3,85,440
Mūzikas nams Daile,486,10817,214233
NABAKLAB,305,17564,25672
NOASS,249,14369,128111
Nemiers,287,8445,117579
Northern Grip,40,385,2646
Nurme Brewery & Taproom,27,889,3483
ONE ONE,828,42440,140423
Omas Brilijants,58,1002,3388
Paddy Whelan's Irish Pub,25,157,380
Palladium,231,46353,1030164
Pandemonium,3,60,161
Paviljons Ziedoņdārzs,22,2161,127874
Piens,177,6658,135131
Pils,59,974,4199
Provodņiks,2,72,419
Pulkvedim Neviens Neraksta,27,1266,353
Purčika Ezītis miglā,37,229,1131
"Pūce, Klubs Naktī",265,3917,36634
Rapsodija Art Bar,15,40,145
Republika,559,21173,61203
Riga Jazz Club,323,4516,23796
Robert's Books,65,1154,5672
Rocket Bean,11,560,73766
Rīgas Doms,11,374,488
Rīgas Kongresu nams,43,3444,38437
Rīgas cirks,27,1379,29624
SPELET CONCERT HALL,2,0,0
Saint Luke Group,35,309,1307
Saulart,72,2185,7247
Shot Cafe,40,2084,7986
Skapis,24,564,2090
Spacedog,2,514,314
Sporta 2 kvartāls,28,1234,40160
Spīķeri - radošais kvartāls,88,21370,599733
Spīķeru koncertzāle,53,935,9718
St.Black,335,681,2155
Taka,52,625,2233
Tallinas Pagalms,392,8560,105159
Teritorija Club,113,926,2804
Teātra Bārs,95,1541,6055
Teātris-klubs „Hamlets”,29,439,1784
The Botanist,41,243,1427
Tims Mints,236,7406,46220
Totaldobže,72,3483,39566
Tower,99,2921,11636
Trompete/Sidrērija,782,7427,40879
Tu Jau Zini Kur,204,10916,91833
VEF Kultūras pils,641,17931,179978
VEF kvartāls,39,4016,144150
Valmiermuižas alus vēstniecības,33,2335,66739
Vieta,16,426,754
Vinilbārs,60,517,2027
Vunderbars,34,284,1865
WONDERSALA,57,10969,615385
Walters & Grapa,88,1316,5215
When Coffee Meets Whisky,154,1006,4026
Willa Teātris,6,52,537
Xiaomi Arēna,90,31749,916708
ZUNDA dārzs,33,5103,20528
Zapatista Baltica,3,53,103
Zebras,149,2679,8129
Ziemeļu Enkurs,19,793,27110
Zuzeum,38,2206,67511
de flou,408,8723,43526
es14,1,7,42
lofts,7,141,469
mute,6,162,659
Ādmiņu 4,62,3928,5590
Āgenskalna tirgus,81,4016,295646
Čē,90,1821,7826
Ģertrūdes ielas teātris,45,3195,10620
